Basis,Line,,Product group,Rate,Yield,Uptime
Additional Days,E28,0.61,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.61,PSL,12.151671477565799,6.007153902695734,0.01429861111111109
Additional Days,E28,0.61,Roll Sleeve,0.03548511860283016,0.020621788423835663,0.7616150462962961
Additional Days,E28,0.61,Shrink Sleeve,0.9979557314243195,0.6773404939897532,0.0
Additional Days,E28,0.62,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.62,PSL,12.248670549816353,6.437645892317107,0.017636574074074065
Additional Days,E28,0.62,Roll Sleeve,0.038472338663360195,0.022404237315377495,0.8308527777777776
Additional Days,E28,0.62,Shrink Sleeve,1.1025783896199925,0.7064278998532743,0.0
Additional Days,E28,0.63,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.63,PSL,13.262050561983571,6.878006920169042,0.02110740740740742
Additional Days,E28,0.63,Roll Sleeve,0.041422944928802274,0.02417212611187658,0.9000905092592592
Additional Days,E28,0.63,Shrink Sleeve,1.1066392537175247,0.7824694361148445,0.0
Additional Days,E28,0.64,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.64,PSL,15.12818138308947,7.328055258422751,0.02471111111111114
Additional Days,E28,0.64,Roll Sleeve,0.04433760645154361,0.02592563249082619,0.9693282407407406
Additional Days,E28,0.64,Shrink Sleeve,1.1106991824998502,0.8582372590568994,0.0
Additional Days,E28,0.65,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.65,PSL,16.040459020587022,7.715162391783991,0.03639814814814812
Additional Days,E28,0.65,Roll Sleeve,0.047216976081661144,0.02766493125048941,1.0385659722222222
Additional Days,E28,0.65,Shrink Sleeve,1.1147581762900742,0.933732843880847,0.0
Additional Days,E28,0.66,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.66,PSL,16.585913281206672,8.076331077398322,0.05131851851851854
Additional Days,E28,0.66,Roll Sleeve,0.05006169095443064,0.02939019436798579,1.1078037037037036
Additional Days,E28,0.66,Shrink Sleeve,1.1188162354111384,1.0089576552061317,0.0
Additional Days,E28,0.67,PH Mono Films,0.0,0.0,0.0
Additional Days,E28,0.67,PSL,16.733499377572457,8.972728798492824,0.1649666666666673
Additional Days,E28,0.67,Roll Sleeve,0.05287237296033781,0.031101591055976763,1.1770414351851852
